Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
Snake Friend,item_modifiers,mod,,,Snake Friend Mod,,,,,,,,,,,,,
Snake FriendDesc,item_modifiers,mod,,,"Increases Impact bracing when falling from a height, and Strength. Can be found in hardened chests as a lootable item and installed in the armor headware paint slot. This clothing mod is visible to other players.",,,,,,,,,,,,,
Vulture Friend,item_modifiers,mod,,,Vulture Friend Mod,,,,,,,,,,,,,
Vulture FriendDesc,item_modifiers,mod,,,"Reduces walk and run speed but Increases Jump strength and Jump stamina. Can be found in hardened chests as a lootable item and installed in the armor headware paint slot. This clothing mod is visible to other players.",,,,,,,,,,,,,
Big Backpack,item_modifiers,mod,,,Big Backpack Mod,,,,,,,,,,,,,
Big BackpackDesc,item_modifiers,mod,,,"Increases Strength, Damage resistance, and Backpack capacity by +5. Can be found in hardened chests as a lootable item and installed in the armor headware paint slot. This clothing mod is visible to other players.",,,,,,,,,,,,,
Pumpkin Man,item_modifiers,mod,,,Pumpkin Man Mod,,,,,,,,,,,,,
Pumpkin ManDesc,item_modifiers,mod,,,"Increases Strength, Damage resistance, and Harvest count by +2. Can be found in hardened chests as a lootable item and installed in the armor headware paint slot. This hat mod is visible to other players.",,,,,,,,,,,,,

modWeaponDurability,item_modifiers,mod,,,Weapon Durability Mod,,,,,,,,,,,,,
modWeaponDurabilityDesc,item_modifiers,mod,,,"This modification for weapons lowers degradation by 50%.",,,,,,,,,,,,,

LootboxMachine,blocks,block,,,Loot Box Machine,,,,,,,,,,,,,
LootboxMachineDesc,blocks,block,,,"This Loot Box Machine allows you to spend your coloured tickets on selected custom weapons.",,,,,,,,,,,,,
GreenTicket,items,Item,,,Green Ticket,,,,,,,,,,,,,
GreenTicketDesc,items,Item,,,"Collect 10 Green Tickets to trade for a Green Loot Box in the Loot Box Machine. Alternatively, upgrade to a Yellow Ticket.",,,,,,,,,,,,,
YellowTicket,items,Item,,,Yellow Ticket,,,,,,,,,,,,,
YellowTicketDesc,items,Item,,,"Collect 10 Yellow Tickets to trade for a Yellow Loot Box in the Loot Box Machine. Alternatively, upgrade to a Red Ticket.",,,,,,,,,,,,,
RedTicket,items,Item,,,Red Ticket,,,,,,,,,,,,,
RedTicketDesc,items,Item,,,"Collect 10 Red Tickets to trade for a Red Loot Box in the Loot Box Machine. Alternatively, upgrade to a Purple Ticket.",,,,,,,,,,,,,
PurpleTicket,items,Item,,,Purple Ticket,,,,,,,,,,,,,
PurpleTicketDesc,items,Item,,,"Collect 10 Purple Tickets to trade for a Purple Loot Box in the Loot Box Machine.",,,,,,,,,,,,,
LVL1GreenLootBox,items,Item,,,Level 1 - Green Loot Box,,,,,,,,,,,,,
LVL1GreenLootBoxDesc,items,Item,,,"The Level 1 - Green Loot Box can be opened to receive a Level 1 custom weapon. Level 1 custom weapons include...Work In Progress.",,,,,,,,,,,,,
LVL2YellowLootBox,items,Item,,,Level 2 - Yellow Loot Box,,,,,,,,,,,,,
LVL2YellowLootBoxDesc,items,Item,,,"The Level 2 - Yellow Loot Box can be opened to receive a Level 2 custom weapon. Level 2 custom weapons include...Work In Progress.",,,,,,,,,,,,,
LVL3RedLootBox,items,Item,,,Level 3 - Red Loot Box,,,,,,,,,,,,,
LVL3RedLootBoxDesc,items,Item,,,"The Level 3 - Red Loot Box can be opened to receive a Level 3 custom weapon. Level 3 custom weapons include...Work In Progress.",,,,,,,,,,,,,
LVL4PurpleLootBox,items,Item,,,Level 4 - Purple Loot Box,,,,,,,,,,,,,
LVL4PurpleLootBoxDesc,items,Item,,,"The Level 4 - Purple Loot Box can be opened to receive a Level 4 custom weapon. Level 4 custom weapons include...Work In Progress.",,,,,,,,,,,,,
